"","bwnetModuleLabels","bwnetModuleColors"
"TraesCS2A01G387300","0","grey"
"TraesCS2A01G387400","7","black"
"TraesCS2A01G387500","0","grey"
"TraesCS2A01G387700","12","tan"
"TraesCS2A01G387800","5","green"
"TraesCS2A01G387900","2","blue"
"TraesCS2A01G388000","0","grey"
"TraesCS2A01G388100","0","grey"
"TraesCS2A01G388200","0","grey"
"TraesCS2A01G388300","14","cyan"
"TraesCS2A01G388400","1","turquoise"
"TraesCS2A01G388500","1","turquoise"
"TraesCS2A01G388600","0","grey"
"TraesCS2A01G388700","0","grey"
"TraesCS2A01G388800","0","grey"
"TraesCS2A01G388900","23","darkturquoise"
"TraesCS2A01G389000","1","turquoise"
"TraesCS2A01G389100","9","magenta"
"TraesCS2A01G389200","4","yellow"
"TraesCS2A01G389300","0","grey"
"TraesCS2A01G389400","3","brown"
"TraesCS2A01G389500","4","yellow"
"TraesCS2A01G389600","19","lightyellow"
"TraesCS2A01G389700","3","brown"
"TraesCS2A01G389800","4","yellow"
"TraesCS2A01G389900","0","grey"
"TraesCS2A01G390000","2","blue"
"TraesCS2A01G390100","2","blue"
"TraesCS2A01G390200","19","lightyellow"
"TraesCS2A01G390300","19","lightyellow"
"TraesCS2A01G390500","0","grey"
"TraesCS2A01G390600","8","pink"
"TraesCS2A01G390700","7","black"
"TraesCS2A01G390800","3","brown"
"TraesCS2A01G390900","11","greenyellow"
"TraesCS2A01G391000","1","turquoise"
"TraesCS2A01G391100","1","turquoise"
"TraesCS2A01G391200","14","cyan"
"TraesCS2A01G391300","2","blue"
"TraesCS2A01G391400","4","yellow"
"TraesCS2A01G391500","1","turquoise"
"TraesCS2A01G391600","5","green"
"TraesCS2A01G391700","1","turquoise"
"TraesCS2A01G391800","0","grey"
"TraesCS2A01G391900","0","grey"
"TraesCS2A01G392000","0","grey"
"TraesCS2A01G392100","11","greenyellow"
"TraesCS2A01G392200","0","grey"
"TraesCS2A01G392300","0","grey"
"TraesCS2A01G392400","5","green"
"TraesCS2A01G392500","2","blue"
"TraesCS2A01G392600","0","grey"
"TraesCS2A01G392700","0","grey"
"TraesCS2A01G392800","2","blue"
"TraesCS2A01G392900","7","black"
"TraesCS2A01G393000","0","grey"
"TraesCS2A01G393100","16","lightcyan"
"TraesCS2A01G393300","0","grey"
"TraesCS2A01G393400","8","pink"
"TraesCS2A01G393500","3","brown"
"TraesCS2A01G393600","0","grey"
"TraesCS2A01G393700","2","blue"
"TraesCS2A01G393800","1","turquoise"
"TraesCS2A01G393900","1","turquoise"
"TraesCS2A01G394100","8","pink"
"TraesCS2A01G394200","0","grey"
"TraesCS2A01G394400","0","grey"
"TraesCS2A01G394500","2","blue"
"TraesCS2A01G394600","17","grey60"
"TraesCS2A01G394700","14","cyan"
"TraesCS2A01G394800","0","grey"
"TraesCS2A01G394900","12","tan"
"TraesCS2A01G395000","10","purple"
"TraesCS2A01G395100","9","magenta"
"TraesCS2A01G395200","2","blue"
"TraesCS2A01G395300","0","grey"
"TraesCS2A01G395400","12","tan"
"TraesCS2A01G395500","3","brown"
"TraesCS2A01G395600","13","salmon"
"TraesCS2A01G395700","0","grey"
"TraesCS2A01G395800","4","yellow"
"TraesCS2A01G395900","0","grey"
"TraesCS2A01G396000","1","turquoise"
"TraesCS2A01G396100","31","paleturquoise"
"TraesCS2A01G396200","5","green"
"TraesCS2A01G396300","11","greenyellow"
"TraesCS2A01G396400","12","tan"
"TraesCS2A01G396500","2","blue"
"TraesCS2A01G396600","0","grey"
"TraesCS2A01G396700","0","grey"
"TraesCS2A01G396800","1","turquoise"
"TraesCS2A01G396900","3","brown"
"TraesCS2A01G397000","0","grey"
"TraesCS2A01G397100","5","green"
"TraesCS2A01G397200","2","blue"
"TraesCS2A01G397300","7","black"
"TraesCS2A01G397400","2","blue"
"TraesCS2A01G397500","0","grey"
"TraesCS2A01G397600","2","blue"
"TraesCS2A01G397700","2","blue"
"TraesCS2A01G397800","20","royalblue"
"TraesCS2A01G397900","2","blue"
"TraesCS2A01G398000","1","turquoise"
"TraesCS2A01G398100","19","lightyellow"
"TraesCS2A01G398200","0","grey"
"TraesCS2A01G398300","2","blue"
"TraesCS2A01G398400","4","yellow"
